taskId,userId,text,createdAt,deadline,estimatedMinutes,actualTotalMinutes,completed,labelId,priority,idealProgress,actualProgress,pace7d,paceExp,requiredPace,requiredPaceAdj,spi,spi7d,spiExp,spiAdj,eacDate,riskLevel,labelName,labelColor
53EIH4uY2PeAUhQgrVkk,DgApBqtxpeVE5G5MnIVw9ThpyN93,中間発表の資料を完成させる,2025-10-19T20:23:50.112Z,2025-10-21T05:40:00.000Z,240,260,false,XGuadf3bqtsZGJ7i6vY8,,0.5,1,37.1,119.9,0,0,1,1,1,1,2025-10-20,ok,開発関連,#f32020
5NHkI2KZn1oWspLbrLVE,DgApBqtxpeVE5G5MnIVw9ThpyN93,日本学生支援機構採否通知配布,2025-10-12T16:52:46.031Z,2025-10-16T02:40:00.000Z,60,0,false,G9VBLEmLJBqVBeLaCpdc,,1,0,,,60,54,0,0,0,0,166300-03-24,warn,大学関連,#11e41f
7N1lKCEGi56xab8xDS1i,EyQHdJounoeN8h11wqvbDmuNK2j2,卒研発表,2025-09-23T06:17:07.038Z,2026-01-26T03:00:00.000Z,10,0,false,8ok89dIHBxNSI9HpEBKW,3,,,,,,,,,,,,,重要,#607c8a
8EG6pfoqRVbf5f1AEiFQ,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,week7,2025-10-01T07:06:22.893Z,2025-10-28T01:30:00.000Z,90,0,false,,2,,,,,4.3,3.9,0,0,0,0,248437-05-25,warn,,
8oAxKzrYkvwqxEfsZHA9,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,sadoku要件整理,2025-10-20T08:54:31.603Z,2025-10-22T09:00:00.000Z,30,0,false,,,0.33,0,,,10,9,0,0,0,0,84163-01-05,warn,,
B0v5nFlSUvYd5XaW2TZS,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,proglang-saiten,2025-10-01T07:07:25.732Z,2025-10-10T01:30:00.000Z,90,90,true,,2,1,1,90,89.9,,,1,1,1,1,2025-10-16,ok,,
CO9cj1u2K7OiCtYPhYif,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,week5,2025-10-01T07:06:00.766Z,2025-10-14T09:00:00.000Z,90,90,true,,2,1,1,90,89.9,,,1,1,1,1,2025-10-16,ok,,
DDGFretF50fqyBt7QTDJ,Y8guHqhoS2XRWkxAJMSr6fqzmVD3,抹茶ラテ飲む,2025-09-22T08:01:46.969Z,2025-09-22T10:00:00.000Z,60,0,false,,2,,,,,,,,,,,,,,
FwUMLGt4n0BTb9O92tdy,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,week4,2025-10-01T07:05:17.185Z,2025-10-07T09:00:00.000Z,90,0,true,,2,,,,,90,81,0,0,0,0,248437-05-25,warn,,
GdpMP4ygx3WGv0E4ehQQ,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,進路聞く,2025-10-09T02:11:52.347Z,2025-10-21T04:00:00.000Z,90,0,false,,,,,,,6.9,6.2,0,0,0,0,248437-05-27,warn,,
Hl98sMKpboHMI74D2UWP,EyQHdJounoeN8h11wqvbDmuNK2j2,大学,2025-09-23T05:53:32.579Z,2025-09-29T03:55:00.000Z,90,0,false,,2,,,,,,,,,,,,,,
JAYSPpgpnUwkdca49rTZ,DgApBqtxpeVE5G5MnIVw9ThpyN93,Planned vs Actualのバグ修正,2025-10-12T16:56:15.694Z,2025-10-14T07:10:00.000Z,180,180,true,XGuadf3bqtsZGJ7i6vY8,,1,1,180,179.9,,,1,1,1,1,2025-10-15,ok,開発関連,#f32020
JhlhSMZM9smOiu5Y4Pop,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,先端情報スライド,2025-10-01T07:04:27.837Z,2025-10-08T09:00:00.000Z,90,0,true,,2,,,,,90,81,0,0,0,0,248437-05-27,warn,,
JqO4tRtNjj47sPW7FrWw,DgApBqtxpeVE5G5MnIVw9ThpyN93,基本情報合計200時間勉強する,2025-10-12T17:08:38.214Z,2025-12-31T09:00:00.000Z,12000,60,false,ugTjN6j5Cfo45y06nYe4,,0.1,0.01,60,,163.6,147.2,0.37,0.37,0,0.41,2026-05-07,warn,生活,#2196f3
Kue0t6QytBmV9GXVQAS1,DgApBqtxpeVE5G5MnIVw9ThpyN93,奨学金書類配布,2025-10-12T16:54:04.445Z,2025-10-16T09:00:00.000Z,30,0,false,G9VBLEmLJBqVBeLaCpdc,,1,0,,,30,27,0,0,0,0,84163-01-06,warn,大学関連,#11e41f
LZcCtTroo4OcXLOZCSjS,DgApBqtxpeVE5G5MnIVw9ThpyN93,リストのフィルター機能を復活させる,2025-10-12T16:46:37.026Z,2025-10-13T09:00:00.000Z,60,60,true,XGuadf3bqtsZGJ7i6vY8,,1,1,8.6,15.1,0,0,1,1,1,1,2025-10-20,ok,開発関連,#f32020
RUYwXJkl67cqeHlFExye,EyQHdJounoeN8h11wqvbDmuNK2j2,パスポート,2025-09-23T06:05:50.622Z,2025-09-26T11:00:00.000Z,90,0,false,8ok89dIHBxNSI9HpEBKW,3,,,,,,,,,,,,,重要,#607c8a
RiDx2TC0viLa01JSx8vn,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,week6,2025-10-01T07:06:06.597Z,2025-10-21T09:00:00.000Z,90,90,true,,2,0.95,1,90,89.9,,,1,1,1,1,2025-10-21,ok,,
YJDOfMehKYW1Xru2tnlo,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,Dellサーバ角煮,2025-10-11T01:44:24.700Z,2025-10-13T01:00:00.000Z,90,0,true,,,,,,,90,81,0,0,0,0,248437-05-31,warn,,
gXcPb85ngcyoF2qjLidK,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,DP作る。,2025-10-01T07:01:21.574Z,2025-10-28T04:00:00.000Z,90,0,false,,2,,,,,,,,,,,,,,
m3lMCoJf7cchKYxCvV0T,DgApBqtxpeVE5G5MnIVw9ThpyN93,カード振込,2025-10-12T16:50:36.161Z,2025-10-25T09:00:00.000Z,5,0,false,ugTjN6j5Cfo45y06nYe4,,0.69,0,,,1,0.9,0,0,0,0,15715-05-05,warn,生活,#2196f3
qTCAigCXEyzjCjuVvYEs,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,proglang-saiten,2025-10-01T07:07:09.676Z,2025-10-03T01:30:00.000Z,90,0,true,,2,,,,,,,,,,,,,,
rEH4wQZJxAggfr17y4MM,DgApBqtxpeVE5G5MnIVw9ThpyN93,フロントエンドでのアップデート履歴の表示,2025-10-19T22:54:38.871Z,2025-10-28T03:55:00.000Z,120,120,true,XGuadf3bqtsZGJ7i6vY8,,0.22,1,120,119.9,,,1,1,1,1,2025-10-21,ok,開発関連,#f32020
t67CTTnxu3RQ9H4tG0MY,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,物品検査,2025-09-23T04:58:50.093Z,2025-10-22T04:58:00.000Z,180,180,true,,2,0.97,1,180,179.9,,,1,1,1,1,2025-10-21,ok,,
w6vZ1wAgSDTUJFOS8268,EyQHdJounoeN8h11wqvbDmuNK2j2,卒研提出,2025-09-23T06:10:12.789Z,2026-01-14T06:00:00.000Z,20,0,false,8ok89dIHBxNSI9HpEBKW,3,,,,,,,,,,,,,重要,#607c8a
ysO2F9uBwQ1t7Pwy23dy,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,Webサイト記事,2025-09-16T05:54:50.045Z,2025-09-30T05:54:00.000Z,90,0,true,,2,,,,,,,,,,,,,,
zk18eA9VU1k0NldeBtXW,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,幹事決める,2025-10-15T01:17:10.244Z,2025-10-28T09:00:00.000Z,90,0,false,,,,,,,6.4,5.8,0,0,0,0,248437-06-02,warn,,