__docPath,__docId,createdAt,date,minutes,source,trigger
todos/OBRscVWDrP6T2dgGwzRM/sessions/2gla6BvtLjBc5ueDul5y,2gla6BvtLjBc5ueDul5y,2025-12-08T18:28:33.514Z,2025-12-09,0,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/61AzqOX3WqcoVgLPjOGz,61AzqOX3WqcoVgLPjOGz,2025-12-08T16:49:29.481Z,2025-12-09,0,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/8b6sYQNN1kLg0jtc9cG0,8b6sYQNN1kLg0jtc9cG0,2025-12-08T17:36:18.800Z,2025-12-09,0,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/98i8ye8Wlo8xgXKXk86b,98i8ye8Wlo8xgXKXk86b,2025-12-08T17:13:38.897Z,2025-12-09,0,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/AJqjJWtXCnVNkPJri0Wc,AJqjJWtXCnVNkPJri0Wc,2025-12-08T19:19:47.482Z,2025-12-09,150,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/AlWxMzQCo7Bil3TASJEi,AlWxMzQCo7Bil3TASJEi,2025-12-08T17:42:30.637Z,2025-12-09,240,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/BK5C655vd83gpw9gdizU,BK5C655vd83gpw9gdizU,2025-12-08T17:32:37.440Z,2025-12-09,150,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/G3i6UbGbRmPKJBACSefh,G3i6UbGbRmPKJBACSefh,2025-12-08T20:13:24.363Z,2025-12-09,150,manual,manual
todos/OBRscVWDrP6T2dgGwzRM/sessions/GorZRMzLKllOxSObPBEP,GorZRMzLKllOxSObPBEP,2025-12-08T16:53:47.601Z,2025-12-09,0,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/J12r9vdIMnEOS7J4F6LO,J12r9vdIMnEOS7J4F6LO,2025-12-08T17:30:55.974Z,2025-12-09,0,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/L5hFjwZJw7RJ4aLFdYsL,L5hFjwZJw7RJ4aLFdYsL,2025-12-08T20:18:23.611Z,2025-12-09,0,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/R0nQ0lTCZfXUcbmapSa4,R0nQ0lTCZfXUcbmapSa4,2025-12-08T20:36:37.897Z,2025-12-09,90,manual,manual
todos/OBRscVWDrP6T2dgGwzRM/sessions/SFpFBkzfPvUEeSWosCBM,SFpFBkzfPvUEeSWosCBM,2025-12-08T17:51:22.843Z,2025-12-09,0,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/SQCzHo4xvNLJdDrb3hyj,SQCzHo4xvNLJdDrb3hyj,2025-12-08T17:34:03.362Z,2025-12-09,90,manual,manual
todos/OBRscVWDrP6T2dgGwzRM/sessions/WIi8cmdLHNc75CPZY1Cd,WIi8cmdLHNc75CPZY1Cd,2025-12-08T17:58:23.214Z,2025-12-09,240,manual,manual
todos/OBRscVWDrP6T2dgGwzRM/sessions/XrqMsPheQJsVVA8mOr40,XrqMsPheQJsVVA8mOr40,2025-12-08T16:47:37.637Z,2025-12-09,200,manual,manual
todos/OBRscVWDrP6T2dgGwzRM/sessions/aVYiGyIzISkeJEUW2NCG,aVYiGyIzISkeJEUW2NCG,2025-12-08T17:05:15.706Z,2025-12-09,200,manual,manual
todos/OBRscVWDrP6T2dgGwzRM/sessions/atadB9vaAR0fowaZ12LP,atadB9vaAR0fowaZ12LP,2025-12-08T18:29:37.021Z,2025-12-09,100,manual,manual
todos/OBRscVWDrP6T2dgGwzRM/sessions/blx6G4QNGVeKIWI6xX0f,blx6G4QNGVeKIWI6xX0f,2025-12-08T16:55:48.289Z,2025-12-09,0,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/dTFa1qQDoNa8wCtZTWEY,dTFa1qQDoNa8wCtZTWEY,2025-12-08T17:31:16.545Z,2025-12-09,240,manual,manual
todos/OBRscVWDrP6T2dgGwzRM/sessions/eq2EY3yNM3q7a9cXen3i,eq2EY3yNM3q7a9cXen3i,2025-12-08T17:14:14.999Z,2025-12-09,200,manual,manual
todos/OBRscVWDrP6T2dgGwzRM/sessions/f0D23bIQh2YwuduR0DZy,f0D23bIQh2YwuduR0DZy,2025-12-08T18:01:38.750Z,2025-12-09,100,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/fp1QxuP8D03WmZ7ajHaQ,fp1QxuP8D03WmZ7ajHaQ,2025-12-08T17:19:03.980Z,2025-12-09,0,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/gNxWNZ3AlRsVGA7avwnu,gNxWNZ3AlRsVGA7avwnu,2025-12-08T16:52:51.850Z,2025-12-09,200,manual,manual
todos/OBRscVWDrP6T2dgGwzRM/sessions/i7xsdwZ9QzZf2tQS3aDH,i7xsdwZ9QzZf2tQS3aDH,2025-12-08T20:11:32.391Z,2025-12-09,0,manual,log-editor
todos/OBRscVWDrP6T2dgGwzRM/sessions/uh7ai4OMWtTz3TLn1VUb,uh7ai4OMWtTz3TLn1VUb,2025-12-08T17:19:40.812Z,2025-12-09,240,manual,manual
todos/OBRscVWDrP6T2dgGwzRM/sessions/wqYaa5k5okKzmxJSK0Cn,wqYaa5k5okKzmxJSK0Cn,2025-12-08T16:54:45.990Z,2025-12-09,200,manual,manual
todos/OBRscVWDrP6T2dgGwzRM/sessions/zNhNoYf3HOPKAAapf3z5,zNhNoYf3HOPKAAapf3z5,2025-12-08T17:18:37.054Z,2025-12-09,40,manual,manual