taskId,userId,text,createdAt,deadline,eacDate,estimatedMinutes,actualTotalMinutes,completed,labelId,priority,paceExp,spiAdj,idealProgress,actualProgress
7N1lKCEGi56xab8xDS1i,EyQHdJounoeN8h11wqvbDmuNK2j2,卒研発表,2025-09-23T06:17:07.038Z,2026-01-26T03:00:00.000Z,,10,0,false,8ok89dIHBxNSI9HpEBKW,3,,,,
8EG6pfoqRVbf5f1AEiFQ,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,week7,2025-10-01T07:06:22.893Z,2025-10-28T01:30:00.000Z,248437-05-25,90,0,false,,2,,0,,
9d6jmVN2gsZSQOtbzFpw,DgApBqtxpeVE5G5MnIVw9ThpyN93,test2,2025-10-06T13:22:02.034Z,2025-10-13T09:00:00.000Z,2025-10-13,300,300,false,kdkFdxiR2w7KP1ePZLEo,,239.9,1,,
B0v5nFlSUvYd5XaW2TZS,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,proglang-saiten,2025-10-01T07:07:25.732Z,2025-10-10T01:30:00.000Z,,90,0,false,,2,,,,
CO9cj1u2K7OiCtYPhYif,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,week5,2025-10-01T07:06:00.766Z,2025-10-14T09:00:00.000Z,,90,0,false,,2,,,,
DDGFretF50fqyBt7QTDJ,Y8guHqhoS2XRWkxAJMSr6fqzmVD3,抹茶ラテ飲む,2025-09-22T08:01:46.969Z,2025-09-22T10:00:00.000Z,,60,0,false,,2,,,,
FY7zWjyig71gaTV5pzoT,DgApBqtxpeVE5G5MnIVw9ThpyN93,ts,2025-10-08T08:04:35.681Z,2025-10-16T09:00:00.000Z,2025-10-14,90,50,false,,2,0.1,5,,
FwUMLGt4n0BTb9O92tdy,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,week4,2025-10-01T07:05:17.185Z,2025-10-07T09:00:00.000Z,248437-05-25,90,0,true,,2,,0,,
GdpMP4ygx3WGv0E4ehQQ,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,進路聞く,2025-10-09T02:11:52.347Z,2025-10-21T04:00:00.000Z,248437-05-27,90,0,false,,,,0,,
Hl98sMKpboHMI74D2UWP,EyQHdJounoeN8h11wqvbDmuNK2j2,大学,2025-09-23T05:53:32.579Z,2025-09-29T03:55:00.000Z,,90,0,false,,2,,,,
JhlhSMZM9smOiu5Y4Pop,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,先端情報スライド,2025-10-01T07:04:27.837Z,2025-10-08T09:00:00.000Z,248437-05-27,90,0,true,,2,,0,,
RUYwXJkl67cqeHlFExye,EyQHdJounoeN8h11wqvbDmuNK2j2,パスポート,2025-09-23T06:05:50.622Z,2025-09-26T11:00:00.000Z,,90,0,false,8ok89dIHBxNSI9HpEBKW,3,,,,
RiDx2TC0viLa01JSx8vn,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,week6,2025-10-01T07:06:06.597Z,2025-10-21T09:00:00.000Z,,90,0,false,,2,,,,
YJDOfMehKYW1Xru2tnlo,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,Dellサーバ角煮,2025-10-11T01:44:24.700Z,2025-10-13T01:00:00.000Z,248437-05-29,90,0,false,,,,0,,
aSlQlO0Qt08YBl72b0li,DgApBqtxpeVE5G5MnIVw9ThpyN93,test1,2025-10-06T12:52:33.856Z,2025-10-10T09:00:00.000Z,2025-10-13,900,900,false,G9VBLEmLJBqVBeLaCpdc,,375.9,1,,
gXcPb85ngcyoF2qjLidK,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,DP作る。,2025-10-01T07:01:21.574Z,2025-10-28T04:00:00.000Z,,90,0,false,,2,,,,
qTCAigCXEyzjCjuVvYEs,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,proglang-saiten,2025-10-01T07:07:09.676Z,2025-10-03T01:30:00.000Z,,90,0,true,,2,,,,
t67CTTnxu3RQ9H4tG0MY,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,物品検査,2025-09-23T04:58:50.093Z,2025-10-22T04:58:00.000Z,,180,0,false,,2,,,,
w6vZ1wAgSDTUJFOS8268,EyQHdJounoeN8h11wqvbDmuNK2j2,卒研提出,2025-09-23T06:10:12.789Z,2026-01-14T06:00:00.000Z,,20,0,false,8ok89dIHBxNSI9HpEBKW,3,,,,
ysO2F9uBwQ1t7Pwy23dy,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,Webサイト記事,2025-09-16T05:54:50.045Z,2025-09-30T05:54:00.000Z,,90,0,true,,2,,,,